localização;texto;qtd_emojis
Porto Alegre, Rio Grande do Sul;"Gostei de um vídeo @YouTube https://t.co/eTLeoBBWLTção de CO2 Em Sedimentos Pode Ser Viável Contra Aquecimento Global - Space";"0 -> "
São Paulo;"Vídeo novo no canal!!! Outro vídeo fora da área da astronomia, e sobre aquecimento global!! Podem xingar a vontade, mas leiam e ouçam o podcast que indiquei!! - Injeção de CO2 Em Sedimentos Pode Ser Viável Contra Aquecimento Global - Space Today Ep.1356 - https://t.co/Z4VPl2iajq https://t.co/2GbBK8arxO";"0 -> "
;"Gostei de um vídeo @YouTube https://t.co/dFR9x7P1x0ção de CO2 Em Sedimentos Pode Ser Viável Contra Aquecimento Global - Space";"0 -> "
São Paulo;"Injeção de CO2 Em Sedimentos Pode Ser Viável Contra Aquecimento Global - Space Today Ep.1356: https://t.co/5HfFTgXhOJ via @YouTube";"0 -> "
São Paulo;"Injeção de CO2 Em Sedimentos Pode Ser Viável Contra Aquecimento Global -... https://t.co/Ghma5uEj64 via @YouTube";"0 -> "
São Paulo;"Injeção de CO2 Em Sedimentos Pode Ser Viável Contra Aquecimento Global -... https://t.co/Z4VPl2iajq via @YouTube";"0 -> "
Brasil;"Colombiana falando de futebol e zoando o Brasil é tipo árvore que apoia o aquecimento global não tem lógica nenhuma. https://t.co/mH4uvCKq4c";"0 -> "
London;"Aquecimento global https://t.co/pqhOLYuIIa";"0 -> "
;"Papa Francisco alerta que o aquecimento global poderá transformar a Terra em "uma pilha de entulho" https://t.co/oPE5Whsac1";"0 -> "
Belo Horizonte, Brasil;"@exame Mais um motivo para nal acreditar em aquecimento global. Nem venham tirarm meu churrasco.";"0 -> "
São Paulo;"Churrasco de domingo é vilão do aquecimento global https://t.co/dnpuFOywWF via @exame";"0 -> "
São Luís, Brasil;"@valdirienzo foto perfeita música perfeita acne curada árvores dando frutos crianças brincando buraco na camada de ozônio diminuiu junto com o aquecimento global";"0 -> "
Porto Alegre, Rio Grande do Sul;"eu lavei meu cabelo logo antes do meio dia e ainda não secou EU ODEIO INVERNO VEM COM TUDO AQUECIMENTO GLOBAL";"0 -> "
;"@cauemoura É tipo fazer igual os EUA com aquecimento global.";"0 -> "
São Vicente, Brasil;"@gabrielgrellet Ué mas não é você que diz que aquecimento global não existe????";"0 -> "
fundo do poço ;"@ChrystianMS_ @bombonzinhodogo sei nem se vo tá viva amanhã sei nem o Marcelo já vai ter se aposentado sei nem se o aquecimento global não vai matar todo mundo até lá";"0 -> "
Ribeirão Preto / Brasil;"A PREVISÃO DE CLIMA PARA O SÉCULO XXI Em agosto de 2008, os agrônomos que prestavam atenção nas previsões de clima de longuíssimo prazo fizeram um belo trabalho: ”Aquecimento Global e a Nova Geografia da... https://t.co/mSqSNqpzTq";"0 -> "
Um inferno chamado: Brasil;"Olha o que vai acontecer com a Bélgica, vamos fazer bastante churrasco para aumentar o aquecimento global Kkkkkk https://t.co/efNEyWP6ZW";"0 -> "
;"pessaol que mete as culpas todas no aquecimento global(nomeadamente das chuvas e clima em portugal) tao ao msm nvl cientifico dos terra planistas kkkkk burros como a merda";"0 -> "
;"@jovemhan Efeito Estufa !!!";"0 -> "
;"@oopslaus Poxa, não fala assim!! ? Devido a nossa transmissão ser via satélite, a mudança climática de temporais, chuvas e nuvens podem realmente causar intermitência e ausência de sinal por alguns instantes. Precisando, é só me chamar que te ajudo, oshe!";"1 -> cry   "
Sintra, Portugal;"aquecimento global https://t.co/deiypOX6Zm";"0 -> "
Belo Horizonte, Brasil;"ESSA É A CAPIVARA DO AQUECIMENTO GLOBAL /)??? ?? ? ? ? ? ? ? | ? ?? U?U????U?U REPASSE PARA A BÉLGICA AFUNDAR DE VEZ";"1 -> cloud_tornado   "
Belo Horizonte, Brasil;"Já tô queimando gasolina ! Aquecimento global vai afogar essa tal de Bélgica.";"0 -> "
João Pessoa, Brasil;"Esse jogo ta sendo pior q hitler e o aquecimento global junto";"0 -> "
Nova Friburgo, Brasil;"@cazedosanjos @folha Ciência trabalha com evidência e estas já são mais que suficientes para comprovar aquecimento. Algo simples de ser entendido. Co2 acima do que a natureza consegue metabolizar, mais efeito estufa, menos raios voltando para extratosfera mais aquecimento. Simples de ser entendido.";"0 -> "
Vila Velha, Brasil;"Hj tem baile da F aquecimento global kkk";"0 -> "
;"Cientistas revelam culpado inesperado da catástrofe global: https://t.co/oT8gaV9snH via @sputnik_brasil";"0 -> "
;"@exame Kkkkkkkk fake news, you are fake news. Não existe aquecimento global, e sim aquecimento local, imprensa tupiniquim hahaha #NinguemAcredita";"0 -> "
;"Nando Moura x Ricardo Felício - Aquecimento Global. https://t.co/vwL5VdCzYz via @YouTube";"0 -> "
Brasil, Brasil;"td o calor do efeito estufa armazenado no nordeste ta foda";"0 -> "
.;"Se o aquecimento global não existe pq club penguin fechou?";"0 -> "
São Paulo, Brasil;"meu planeta vai alagar por causa de um aquecimento global. ta vendo pessoas preservem a terra https://t.co/RLytgohALQ";"0 -> "
iPhone: -3.736438,-38.468056;"@TheEnemyBR Claro, o fato do jogo ser todo brigado e não estar a altura narrativa dos demais não foi o problema. Próximo passo é negar o aquecimento global ????";"1 -> joy   "
Minas Gerais, Brasil;"@exame Vilão do aquecimento global não é o boi nem o churrasco e sim aquela espécie degradante com bilhões de seres espalhados pelo planeta liberando gases, além de outras atitudes de desrespeito às demais espécies e o próprio planeta. Creio que estarão fadados a extinção se não mudarem";"0 -> "
;"Não só do aquecimento global quanto da saúde e meio ambiente como um todo?Ano 2018,comer cadáveres de inocentes animais é injustificável! https://t.co/AaYeyotHho";"1 -> rage   "
;"Há mais d 10 dias as temperaturas em Curitiba tem ultrapassado os 20°C e nos últimos 3 dias tem batido 25°C, c/ mínimas ñ menores q 12°C. Os qp dizem q não existe aquecimento global estão escondidos, esperando acontecer qq geadinha pra perguntar "ain cadê o aquecimento globaum?"";"0 -> "
Sintra, Portugal;"O EFMA NUM CONTEXTO DE MUDANÇA CLIMÁTICA https://t.co/vcyQVJn8Cf";"0 -> "
Canoas, Brasil;"O aquecimento global é a elevação da temperatura média do planeta Terra devido ao aumento da presença de gases do efeito estufa (CO2 e CH4) na atmosfera. E existem evidências suficientes que apontam causa antropocêntrica (humana), ao contrário do que muitos dizem. https://t.co/fD96pyc3jl";"0 -> "
;"@exame Aquecimento global já está provado, que é palhaçada pura.";"0 -> "
Mauá, Brasil;"@exame Aquecimento global é meu ovo !!!";"0 -> "
;"@exame Não há aquecimento global. Notícias ridículas.";"0 -> "
Gravataí, RS, Brasil;"@exame Acredito que o jornalista não foi muito feliz ao escolher “churrasco” como apelo principal, mas sim, existem vários estudos sobre os efeitos do Gado no aquecimento global. Sei que irão rir, mas existe crescimento considerável em “Fazenda de Insetos” como alternativa para proteína https://t.co/S6VIOsQKYp";"0 -> "
Brasil;"Churrasco de domingo é vilão do aquecimento global https://t.co/Z5z4QfHqkm";"0 -> "
Natal, RN;"Lá na outra rede eu tinha ja falado: essa postura anti-intelectual da turma principalmente conservadora tá roendo o nosso país: é anti-vacinação, defesa de agrotóxico, nazismo de esquerda, aquecimento global é falso, pílula do câncer e terra plana. Já já não sobra nada.";"0 -> "
Meu país Minas Gerais;"Aquecimento global o q vc fazer com o mundo????";"0 -> "
;"@exame Kkkkkkkkk. O ridículo chegou a ser mais patético que o esperado. Kkkkkkkkkkk Não conseguiram sequer sustentar a falácia do aquecimento global antropogênico, tiveram que mudar o discurso para "mudanças climáticas" e ainda querem vir com essa piada?";"0 -> "
Niterói, RJ;"A MUDANÇA CLIMÁTICA VISTA A PA";"0 -> "
Belo Horizonte, Brasil;"@exame Resumindo para quem só lê manchete: "Os impactos causados pela agropecuária são responsáveis por 69% das emissões de gases de efeito estufa do Brasil. Muito embora o Brasil contribua com apenas 4% das emissões globais, todo esforço é necessário e muito bem vindo..."";"0 -> "
Rio de Janeiro, Brasil;"Aquecimento global ta bizarro. Mó calor (papo de calor de verão) e estamos no inverno...";"0 -> "
Brasília, Brasil;"@exame Pra quem acredita nesse tal aquecimento global isso é terrível...";"0 -> "
Suzano SP ;"@UOL @RedeTV Efeito estufa! https://t.co/XMam7khlCK";"0 -> "
Salvador, Brasil;"@exame Primeiro que aquecimento global nem existe. Segundo que Brasil vai ser “EQUIÇA” e a gente vai comemorar com vários Churras Saporra!!!";"0 -> "
Florianópolis/SC;"imagina se existisse aquecimento global https://t.co/LJHtW6tcE4";"0 -> "
Angra dos Reis, Brasil;"São notícias como essa que faz a tese do aquecimento global perder adeptos. https://t.co/Py8iuoB1T0";"0 -> "
Fortaleza, Brasil;"@victoriabgf O aquecimento global é todo proveniente deste teu cu";"0 -> "
Curitiba, Brasil;"@exame Toda a cadeia produtiva do churras: 1) a criação de gado: 2) desmata para criar gado 3) gado produz gas metano 4)consumo de agua para o beneficiamento da carne 5)churras com carvão. Agora, aquecimento global, ainda tenho dúvidas se é fato.";"0 -> "
São Paulo, Brasil;"@exame Churrascofobia!!! Foda-se o aquecimento global!!! Manda instalar ar-condicionado!!! Papo de vegano doente...";"0 -> "
Goiás. Não, não lamente.;"@exame Não, caro leitor de manchete, não é o churrasco, mas toda a corrente produtiva de proteína animal que colabora com o aquecimento global. Uma das soluções? Transgênicos. Ah, isso também não pode. Parabéns por politizarem a questão.";"0 -> "
São Paulo - Brasil;"Churrasco de domingo é vilão do aquecimento global https://t.co/";"0 -> "
022/021;"dia de jogo do brasil e filha da puta mandando video sobre aquecimento global";"0 -> "
Portugal;"Setor do vinho é um dos que mais sentem os efeitos do aquecimento global -";"0 -> "
bine ? never say goodbye; a.;"chocada por eles ficarem brancos pq aquecimento global nem me surpreende mais";"0 -> "
bine ? never say goodbye; a.;"chocada q os corais tao ficando branco por causa do aquecimento global";"0 -> "
Rio Grande;"@metsul @correio_dopovo Será que era culpa do aquecimento global?";"0 -> "
Porto Alegre, Brasil;"Só pra deixar bem claro: - não acredito no aquecimento global - não acredito que o homem foi até a lua - não acredito na terra esférica - não confio em quem quer sempre ser o dono da razão e agradar todo mundo";"0 -> "
;"Obama critica falta de interesse de Trump na ciência e na mudança climática https://t.co/ImBb5ZeHJa";"0 -> "
Brasil;"#Obama critica falta de interesse de #Trump na ciência e na mudança climática https://t.co/J5nzJbvJAg";"0 -> "
;"Qualquer tipo de iniciativa contra poluição e aquecimento global é valida, falta agora as garrafas pet e sacolas plásticas !!! Luz no fim do túnel ... https://t.co/66kmn8fg1x";"0 -> "
Vila Nova de Gaia, Portugal;"Aquecimento Global obrigado por me estares a estragar o verão";"0 -> "
Maia, Portugal;"Apesar de melhorias no últimos anos, um problema do Porto e do Norte sempre foi a capacidade de antecipar o futuro económico. Hoje são 6 de Julho e teremos temperatura máxima de 22 graus. Mais logo umas centenas de portuenses vão ouvir falar um sarcedote do aquecimento global.";"0 -> "
;"Hoje a Cidade do Porto é um local muito mal frequentado; parece que passará por lá um vigarista a tentar vender o aquecimento global ou outras quaisquer alterações climáticas que encontramos no Google e de graça; somo um País pobre com gente muito rica e, principalmente, estúpida";"0 -> "
;"Obama vem (na Ryanair?) ao Porto falar sobre aquecimento global (deve ter coisas novas surpreendentes para dizer). Vai-se a ver e mudou de ideias sobre o tema.";"0 -> "
Guarulhos, Brasil;"Neoliberalismo, monocultura, padronização O aquecimento global já não é ficção Movidos pelo lucro, a vaidade e o poder Homens mortos pelo ego antes de nascer Na nova era chega à Terra a nova concepção";"0 -> "
No Seu Coração;"@iberethenorio Olá iberê, bom dia. Ai vai, por que ao deixar a maquina em um ambiente que passa vento, e tem essa mudança climática mesmo sendo pequena, implica na má qualidade da impressão?";"0 -> "
Goiânia, Goiás;"Projeto visa produzir combustíveis mais sustentáveis para aviação - https://t.co/C7J4xQhsXW - As mudanças climáticas, resultado das emissões de gases de efeito estufa, evidenciam a importância de uma aviação mais sustentável e meno... https://t.co/lxbpxwIcTk";"0 -> "
Rio de Janeiro;""Efeito estufa" devia ser nome de promoção de rede de fast-food.";"0 -> "
New York, USA;"Seminário realizado no Campus da UFCG sobre aquecimento global | TV SOL https://t.co/Vqkwec0PDi https://t.co/jFeFmzqUhx";"0 -> "
Jaboatão dos Guararapes;"Gostei de um vídeo @YouTube https://t.co/ylm8UXWY4J Antagonista entrevista Ricardo Felício – Íntegra: "Aquecimento global é";"0 -> "
Taubaté, Brasil;"@manolla_aguilar Eu conversei com o renan e ele disse que o ciclo de krebs vai agir e vai mudar a rota da massa equatirial continental por conta da atp e do aquecimento global e vai ficar tudo mais que MEC";"0 -> "
PE;"@TVJandaia sim ,mas alguns ja avisaram que estao comendo este alimento pra reduzir a morte de vegetais e acabar com o efeito estufa e ter comida ilimitada.os cuck eos lacradoxs s'ao os principais";"0 -> "
Panambi, Brasil;"Qual a sua opinião sobre o efeito estufa e a destruição da camada d ozônio? — uma lástima total https://t.co/hodmXdXhrC";"0 -> "
;"A mudança climática se tornará a principal causa de perda de espécies de vertebrados até 2070 https://t.co/LPxD1MRxjJ https://t.co/5QFyEIqYBW";"0 -> "
024;"Pergunta sobre aquecimento global na prova, aí eu e Ketlen "Por conta do aquecimento global as pessoas vão morrer queimadas" KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK, crlh mané";"0 -> "
;"@GABRlELPlNHElRO Futurama sobre o aquecimento global ???? https://t.co/wI7hYfYKch";"1 -> joy   "
brasil;"@friteia provavelmente tu tava com a garganta inflamada ou tá tendo uma alteração climática brusca mas se continuar e não for nenhum desses dois..";"0 -> "
Minas Gerais, Brasil;"Percebemos que aquecimento global está afetando nossa vida quando estamos no INVERNO e tem PERNILONGOS";"0 -> "
São Paulo;"Queria ver o comentário do idiota do @alexandregarcia sobre aquecimento global Sobe para 33 número de mortos por onda de calor no Canadá https://t.co/afO1OKgc7v";"0 -> "
Flopada;"a agropecuária é a coisa mais nojenta e abusiva que existe, e ainda um dos maiores causadores do aquecimento global e afins";"0 -> "
;"aquecimento global está calor https://t.co/aK5OFNWvc4";"0 -> "
São Paulo, Brasil;"eu to ensino sobre aquecimento global pra minha irma usando a parede do meu quarto ??";"1 -> +1   "
;"Os primeiros animais do mundo também causaram o primeiro evento de aquecimento global – mas levou 100 milhões de anos https://t.co/dOtPgMNdbj https://t.co/hgQztYLhLO";"0 -> "
Petrópolis, Brasil;"[5/7 22:04] rebeca: gente, tá tudo passando rápido demais [5/7 22:04] rebeca: isso aí é o aquecimento global [5/7 22:05] rebeca: descongelamento das calotas polares [5/7 22:05] rebeca: sei nem oq q eu tô falando a gente tava falando sobre escola ai do nada... ??";"1 -> point_up_2   "
Salvador, Bahia;"Nesta noite fui ao lançamento do livro “Nadando Contra Corrente”, do grande procurador Bernardo Guimarães Ribeiro. O livro aborda temas como aquecimento global, desarmamento, violência… https://t.co/1ZyOvWimEK";"0 -> "
Portugal;"O aquecimento global https://t.co/8J9gn0FbIt";"0 -> "
Rio de janeiro;"@vevete_verena @VerdadeAqui Existe uma história de um suposto viajante do tempo,que teria ido até o ano 5000,um sujeito armênio que trabalhava nos EUA.Esse sujeito teria se deparado com Los Angeles do ano 5000,submersa em virtude do aquecimento global";"0 -> "
Trofa, Portugal;"@diana_rebelo Aquecimento global miúda";"0 -> "
Brasil Industrial;"Sou a favor do aquecimento global pro nivel do mar subir e ter praia em minas gerais";"0 -> "
;"Vejam! https://t.co/HcQsC2jvSv";"0 -> "
;"Terra teve um aquecimento global há mais de 500 milhões de anos https://t.co/8a6q19fBi3 https://t.co/K3he52Kull";"0 -> "
;"eu fui receber o delivery e em menos de 2 minutos o motoboy conseguiu puxar assunto sobre caixinhas de sanduíches e de algum jeito no fim da conversa ele tava falando sobre aquecimento global";"0 -> "
Fortaleza, Brasil;"@homem100medo Aquecimento global";"0 -> "
Brasília, Brasil;"A sociedade brasileira participará de rodada de discussões sobre ações nacionais p/ conter a mudança do clima. Em 2/8, o Jardim Botânico do RJ sediará a edição do #DiálogoTalanoa, plataforma internacional p/ incentivar as nações a reforçar a ambição p/ frear o aquecimento global. https://t.co/Z1RO2z2God";"0 -> "
São Paulo, Brasil;"Chegando lá, os caras começaram a perguntar sobre o que eles poderiam fazer para manter-se no comando depois de uma catástrofe global que eles têm certeza que virá: aquecimento global, guerra nuclear, crise migratória, vc escolhe";"0 -> "
Porto Alegre/RS Brasil;"Produção Industrial / Consumismo X Aquecimento Global = você também faz parte disso! https://t.co/VqS0Y2Aczm";"0 -> "
chamusca;"De um modo geral, os mais recentes registos de calor são consistentes com o tipo de fenómenos extremos associados ao aquecimento global. Na Europa, uma onda de calor excessivo, no final da semana passada, fez com que as estradas…https://t.co/lNjyCkubBu https://t.co/PJm6W3UylF";"0 -> "
São José dos Campos - SP;"Nao se fazem mais invernos como antigamente ja estamos em julho e todo os dias estão em torno de 27 graus obrugada aquecimento global e chorem amantes de frio";"0 -> "
? ... Park gae ? ;"pq somos as culpadas do aquecimento global https://t.co/hQMfU4LxOQ";"0 -> "
;"Isso mesmo porra aquecimento global sair de camiseta em julho caralhoooooo";"0 -> "
silas university;"ótimo outro filho da puta que n acredita no aquecimento global https://t.co/bLdomzPKOO";"0 -> "
St Louis, MO;"35 graus Celsius. Sensação térmica de 40. E o dia nem está tão ruim assim. Aquecimento global e “climate change” são uma realidade. Não há dúvidas sobre isso. A dúvida é: o que vamos fazer diante dessa realidade?";"0 -> "
;"https://t.co/kQMwl1cLfe";"0 -> "
;"@sduartek Não vai mais existir Frio. Aquecimento global tomou conta";"0 -> "
São Paulo, Brasil;"Um dos principais benefícios ambientais da energia eólica é que a fonte não emite gases de efeito estufa. Isso permite que toneladas de CO2 não sejam emitidas na atmosfera. Para mais informações acesse o nosso infovento https://t.co/3QrZXLXUlC https://t.co/e7aH9PLfa2";"0 -> "
São Paulo, Brasil;"Uma ação efetiva contra a mudança climática depende de muitos atores. Ao conectar fontes de investimento a projetos relevantes, o setor bancário assume uma posição de destaque nesse sistema. Entenda como o financiamento inovador pode ajudar o planeta: https://t.co/eTNgczbUFK";"0 -> "
;"@kattiel_chan come to portugal, tivemoe duas semanas de verão em maio e agora só temos nuvens chuva e trovoada, isto está ótimo aquecimento global who";"0 -> "
Porto Alegre;"@vitorreb @_jjjjkemjkdcnj @pecesiqueira Faltou o “aquecimento global é real” só";"0 -> "
the zone;"aquecimento global ja";"0 -> "
mundo;"@fesous1 @flaviomorgen Pra uns... proutros poluição, efeito estufa, aquecimento global...";"0 -> "
florianópolis;"quer ajudar o meio ambiente? coma menos carne aquecimento global? coma menos carne acidificação dos oceanos? coma menos carne diminuir sua pegada de carbono? coma menos carne quer uma dieta mais saudável? coma menos carne economizar dinheiro? coma menos carne";"0 -> "
www.facebook.com/vinknnuth;"@Cristiano_Barba Ulstra matou foi pouco, nazismo de esquerda, aquecimento global não existe, etc. Acho que a pior é quando dizem que não existe homofobia no Brasil";"0 -> "
;"Aquecimento global existe sim mas essa parada de “duas folhas secam as mãos” já é mentira";"0 -> "
fundo do poço;"agora e éo debate sobre o aquecimento global felizmente fiquei na plateia apenas faço perguntas";"0 -> "
Fortaleza, Brasil;"@Otaku_zueirando Uma pena pois atitudes assim aumentam a emissão de gás carbônico causando o agravamento do efeito estufa";"0 -> "
giving a blowjob to a hung twink in some alley;""lol que pessoas burras, o aquecimento global não existe, se existisse agora durante o &lt;verão&gt; estaria calor mas está frio e isso prova que, se existe alguma coisa sequer, é o arrefecimento global, que té agora é só frio e nuvens"";"0 -> "
;"Hoje eu to só a farsa do aquecimento global";"0 -> "
Brazil;""Desde 1981 esta competição vem sendo filmada, o que nos permite ver como a vegetação mudou até os dias atuais": https://t.co/UPuRJTVn2M Via @greenMe_it";"0 -> "
Edifício Top Tower 1º Andar;""O conceito de desenvolvimento de baixo carbono, ou low-carbon, remete à forma de planejar o desenvolvimento urbano com menores taxas de emissões de dióxido de carbono (CO2), o principal gás de efeito estufa (GEE)." https://t.co/w7DwwPZSiN";"0 -> "
Terra do Nunca;"Esse mundo ta muito louco É aquecimento global Poluição dos lençóis freáticos Temperatura em constante oscilação... E agora parsa, o que a gente faz?";"0 -> "
em uma galáxia distante....;"Essa invenção acabaria com o problema energético do planeta e o aquecimento global em 1 tacada. https://t.co/LHk1WA4dtV";"0 -> "
Dancin' in Circles;"ESSE AQUECIMENTO GLOBAL FAZENDO O INVERNO FICAR QUENTE PRA PORRA ESSE CÉU AZULZINHO QUE QUE ISSO MEU DEUS O APOCALIPSE?";"0 -> "
Rio de Janeiro, Brasil;"Até 2030, aquecimento global poderá provocar a morte, por desnutrição, de 95 mil meninos e meninas de até 5 anos https://t.co/23MhkqxEIi https://t.co/EMbjQZPS4M";"0 -> "
Porto Alegre, Brasil;"@gugachacra Em suma eles matam pensando no meio Ambiente, quanto menos pessoas ocidentalizadas melhor. Logo todos eles viram veganos ortodoxos e atraves desse novo movimento acabam com a parte do efeito estufa causado pelos rebanhos...";"0 -> "
;"No #tbt, a reportagem do #JEnaTV de 10 de julho de 2017, que colocou em debate o uso de ônibus elétricos para reduzir os gases de efeito estufa no meio ambiente. Afirmado pelo Acordo de Paris, o Brasil deve, até 2025, reduzir a emissão em 37%. Confira: https://t.co/STA6dmUvzN";"0 -> "
Santarém, Brasil;""ah mas o aquecimento global é um mito" mimimi https://t.co/UKGVgjUtXL";"0 -> "
Aurora d;"@pauloap E a desculpa usada por esse pessoal é de que ter filhos contribui pro aquecimento global.";"0 -> "
São Paulo, Brasil;"@marcos__dantas @clau_praxedes Claro que está obsoleto. Não só nas técnicas de perfuração, na geologia e na ignorância dos problemas do aquecimento global, como no contexto político e econômico. O ideal de Lobato era seguir ao pé da letra o modelo concorrencial dos EUA";"0 -> "
Bertioga;"Brasileiros vêm sendo cinco das seis etapas do circuito Mundial este ano Líderes do CT Líderes do QS Maior onda surfada na história É meus amigos, parece que não era apenas uma tempestade, mas uma verdadeira mudança climática global!!";"0 -> "
Guarulhos | São Paulo | Brasil;"GRU Airport informou que alguns voos foram desviados para outros aeroportos e que os atrasos registrados nesta manhã não estão necessariamente ligados à alteração climática #grutemporeal #gruweb #guarulhos #guarulhosweb https://t.co/69S2XVwpS4";"0 -> "
São Paulo;"Aquecimento global existe e é sim causado pela emissão ANTRÓPICA de gases do efeito estufa como o gás carbônico. O fato da Terra ter um ciclo de eras glaciais e eras mais quentes não explica o aumento da temperatura nos últimos anos. https://t.co/nPP1bCf0FM";"0 -> "
Contagem, Brasil;"o Paulo não acredita no aquecimento global por ação do homem igual o Eliano eu amo 1 professor";"0 -> "
Brasil;"Não quero me compara a alguém que ganha um prêmio Nobel, mas...eu já dizia a mesma coisa a muito tempo. Ha! E o pessoal do aquecimento global também não fica atras, a vez deles já vai chegar. "Você pode enganar uma... https://t.co/hApaHbCGWa";"0 -> "
sakurasou;"@rita_milua aquecimento global got us like";"0 -> "
Porto Alegre, Brasil;"Aquecimento global aumenta resistência de bactérias https://t.co/MUqR17QrFG";"0 -> "
Brasil;"Aquecimento global aumenta resistência de bactérias https://t.co/dA2dq5nKlB";"0 -> "
Rio de Janeiro - RJ - Brasil;"#Aquecimentoglobal mudará os padrões das chuvas de verão no leste da China https://t.co/DfbTMsAP3p";"0 -> "
;"@HaloD4rk @LeonardoRamosR @CdNLeon Sim e a terra é plana, o aquecimento global é uma farsa e somos controlados pelos iluminatis.... e pra que vacina né? https://t.co/OHRaGspbFA";"0 -> "
São Paulo, Brasil;"Se é verdade que somos o que comemos, a maioria não sabe o que somos. As batatas nasceram no Peru, onde camponeses aprenderam a cultivar mais de 3 mil tipos delas. E o tubérculo mais famoso do mundo pode nos salvar da fome frente ao aquecimento global. https://t.co/CGmdJR6j2R";"0 -> "
Hamburgo, Alemanha;"@ceticismo Maldito aquecimento global";"0 -> "
Castelo de Paiva, Portugal;"O primeiro aquecimento global foi causado por animais há 500 milhões de anos https://t.co/o0T8GfHKBe https://t.co/QfTex8rq5O";"0 -> "
Serpa, Portugal;"Eu preocupo me bué com isso mas só sendo eu não chega Todos devíamos prestar atenção ao aquecimento global porque não é só mais uma merda que aprendemos na escola https://t.co/TTjyExikxI";"0 -> "
;"Só vamos ter calor em outubro, jr andamos a brincar com o aquecimento global";"0 -> "
;"Curtas sobre ciência - 04 Sofro cólicas todas as vezes que vejo âncoras de noticiários jornalísticos falando de “aquecimento global”. Recentemente quem foi o responsável pelas dores no abdômen foi William Waack. https://t.co/vcwE6hUp6I";"0 -> "
Londrina, Brasil;"TRUMP QUER AFUNDAR OS EUA COM. CARVÃO E POLUIDORES EM GERAL ENERGIAS FÓSSEIS NÃO PENSA NO MEIO AMBIENTE ENERGIA LIMPAR ELE AMA O EFEITO ESTUFA TARIFAS JUSTAS.";"0 -> "
Portugal;"https://t.co/efUfD8dFYj";"0 -> "
Votuporanga - SP;"Lembro-me quando existia essa suspeita entre Votuporanga e Fernandópolis.... A interferência estrangeira é suspeita de ter um papel na mudança climática", acrescentou ele. https://t.co/5JxYH4JW3a";"0 -> "
por ai;"@VickySass Vixe! Sobrinho Neto? ? Meldelsducel imagina os gases de efeito estufa? Urgh!!!";"1 -> thinking   "
;"@rantunes9 @zemarinho Se as amplitudes térmicas extremas alteram, as médias alteram, certo? O aquecimento global é apenas uma parte da questão. Existe ainda um arrefecimento global que nunca é mencionado. Já se usa "alterações climáticas" em substituição do "aquecimento global". Vamos actualizar isso?";"0 -> "
Rio Largo, Brasil;"A Pecuária Bovina é apontada como causa principal do aquecimento global com 51% das emissões de gases do efeito estufa. Poluindo rios e oceanos com lixo orgânico tóxico não... https://t.co/mFcVt9QHy0";"0 -> "
13/06 FESTA 2018;"O galo da minha vizinha ta cantando uma hora dessas puta merda isso tudo é culpa do aquecimento global";"0 -> "
;"Vi Karl Marx e aquecimento global na mesma frase";"0 -> "
Vila Velha, Brasil;"@GABRlELPlNHElRO Ganhou 500 mil reais pra dizer q se a terra fosse quadrada não teria efeito estufa...É SIM ,BOLSONARO NÃO PODE SER PRESIDENTE PORQUE ELE É DESPREPARADO.......kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk";"0 -> "
;"@CanalDoOtario Só falta cobrar o dízimo, pra ser reconhecida a Igreja do Aquecimento Global dos Santos dos Últimos dias. Não, péra... O dízimo já é cobrado via Acordo de Paris, então tá tudo certo.";"0 -> "
Belém, Brasil;"Vcs sabiam q o consumo de carne é responsável pela emissão de 18% dos gases responsáveis pelo efeito estufa, isto é mais q todos os meios de transportes juntos, segundo a ONU!";"0 -> "
Niterói, Brasil;"efeito estufa não é o problema, é oq permite temperatura ideal de sobrevivência. o problema é a liberação de CO2 exageradamente";"0 -> "
Dirne depois de narnia;"@CleytoonCRF @marlonnMiranda @arianjaisb @anacrycrf Já ouviu falar em aquecimento global ?e quando ela tá com fogo no rabo tipo agora";"0 -> "
Sorocaba;"O general queria vender a teoria do roubo de nuvens, mas o responsável pela meteorologia já estava comprometido com a teoria do aquecimento global ? Resultado: Não se entenderam. https://t.co/ttXJPD2huT";"1 -> joy   "
São Paulo;"Socialista obstinado critica Julio Severo por não culpar o aquecimento global pelo Furacão Harvey https://t.co/SANmggZUwC";"0 -> "
Cássia, Brasil;"@bolachaa17 Kkkkkkkk faz 17 anos que eu contribuo para que o aquecimento global termine mais não tá dando certo";"0 -> "
Florianópolis, Brazil;"Quando a água bater na bunda já vai ser tarde... https://t.co/ADwhrt7vLu";"0 -> "
Cássia, Minas Gerais;"@lauane_melo3 Andar a pé é uma boa ação com o meio ambiente pois se fosse de carro poluiria e causaria o aquecimento global. Pense na boa ação q está fazendo kkkkk";"0 -> "
Santa Maria, Brasil;"aquecimento global é uma cilada bino";"0 -> "
Florianópolis;"AQUECIMENTO GLOBAL - SIMULADO ENEM DE GEOGRAFIA O aquecimento global refere-se ao aumento da temperatura média dos oceanos e do ar perto da superfície da Terra que se tem verificado nas décadas mais recentes e... https://t.co/SslGtKyw2G";"0 -> "
